,News Site,City,Province,Census division,Election District
0,BarrieToday,Barrie,Ontario,Simcoe,
1,BayToday,North Bay,Ontario,Nipissing,
2,BradfordToday,Bradford,Ontario,Simcoe ,
3,BurlingtonToday,Burlington,Ontario,Halton,
4,CambridgeToday,Cambridge,Ontario,Waterloo,
5,CollingwoodToday,Collingwood,Ontario,Simcoe,
6,ElliotLakeToday,Elliot Lake,Ontario,Algoma,
7,EloraFergusToday,Elora/Fergus,Ontario,Wellington ,
8,GuelphToday,Guelph,Ontario,Wellington,
9,HaltonHillsToday,Halton Hills,Ontario,Halton,
10,InnisfilToday,Innisfil,Ontario,Simcoe,
11,MidlandToday,Midland,Ontario,Simcoe,
12,NewmarketToday,Newmarket,Ontario,York,
13,Niagara-on-the-Lake Local,Niagara-on-the-Lake,Ontario,Niagara,
14,OrilliaMatters,Orillia,Ontario,Simcoe,
15,PelhamToday.ca,Pelham,Ontario,Niagara,
16,SooToday,Sault Ste. Marie,Ontario,Algoma,079 - Sault Ste. Marie
17,StratfordToday,Stratford,Ontario,Perth,
18,Sudbury.com,Sudbury,Ontario,Greater Sudbury ,
19,ThoroldToday,Thorold,Ontario,Niagara,
20,TimminsToday,Timmins,Ontario,Perth,
